_id,city,lat,lng,country
65a97217244f223d8fbd9749,Shangrao,28.4419,117.9633,China
65a97217244f223d8fbd974a,Zunyi,27.705,106.9336,China
65a97217244f223d8fbd974b,Sūrat,21.1702,72.8311,India
65a97217244f223d8fbd974c,Surabaya,-7.2458,112.7378,Indonesia
65a97217244f223d8fbd974d,Huanggang,30.45,114.875,China
65a97217244f223d8fbd974e,Maoming,21.6618,110.9178,China
65a97217244f223d8fbd974f,Nanchong,30.7991,106.0784,China
65a97217244f223d8fbd9750,Xinyang,32.1264,114.0672,China
65a97217244f223d8fbd9751,Madrid,40.4169,-3.7033,Spain
65a97217244f223d8fbd9752,Baghdad,33.3153,44.3661,Iraq
65a97217244f223d8fbd9753,Qujing,25.5102,103.8029,China
65a97217244f223d8fbd9754,Jieyang,23.5533,116.3649,China
65a97217244f223d8fbd9755,Singapore,1.3,103.8,Singapore
65a97217244f223d8fbd9756,Prayagraj,25.4358,81.8464,India
65a97217244f223d8fbd9757,Liaocheng,36.45,115.9833,China
65a97217244f223d8fbd9758,Dalian,38.9,121.6,China
65a97217244f223d8fbd9759,Yulin,22.6293,110.1507,China
65a97217244f223d8fbd975a,Changde,29.0397,111.6839,China
65a97217244f223d8fbd975b,Qingdao,36.1167,120.4,China
65a97217244f223d8fbd975c,Douala,4.05,9.7,Cameroon
65a97217244f223d8fbd975d,Miami,25.784,-80.2101,United States
65a97217244f223d8fbd975e,Nangandao,35.2992,113.8851,China
65a97217244f223d8fbd975f,Pudong,31.2231,121.5397,China
65a97217244f223d8fbd9760,Xiangyang,32.0654,112.1531,China
65a97217244f223d8fbd9761,Dallas,32.7935,-96.7667,United States
65a97217244f223d8fbd9762,Houston,29.786,-95.3885,United States
65a97217244f223d8fbd9763,Zhengzhou,34.7492,113.6605,China
65a97217244f223d8fbd9764,Lu’an,31.7542,116.5078,China
65a97217244f223d8fbd9765,Dezhou,37.4513,116.3105,China
65a97217244f223d8fbd9766,Jinan,36.6667,116.9833,China
65a97217244f223d8fbd9767,Giza,29.987,31.2118,Egypt
65a97217244f223d8fbd9768,Zhaotong,27.3328,103.7144,China
65a97217244f223d8fbd9769,Yichun,27.8041,114.383,China
65a97217244f223d8fbd976a,Nairobi,-1.2864,36.8172,Kenya
65a97217244f223d8fbd976b,Guadalajara,20.6767,-103.3475,Mexico
65a97217244f223d8fbd976c,Philadelphia,40.0077,-75.1339,United States
65a97217244f223d8fbd976d,Ankara,39.93,32.85,Turkey
65a97217244f223d8fbd976e,Tai’an,36.2001,117.0809,China
65a97217244f223d8fbd976f,Dazhou,31.2152,107.4947,China
65a97217244f223d8fbd9770,Langfang,39.5196,116.7006,China
65a97217244f223d8fbd9771,Yongzhou,26.4515,111.5953,China
65a97217244f223d8fbd9772,Toronto,43.7417,-79.3733,Canada
65a97217244f223d8fbd9773,Suihua,46.6384,126.9808,China
65a97217244f223d8fbd9774,Saint Petersburg,59.95,30.3167,Russia
65a97217244f223d8fbd9775,Qiqihar,47.3398,123.9512,China
65a97217244f223d8fbd9776,Suzhou,33.6333,116.9683,China
65a97217244f223d8fbd9777,Monterrey,25.6667,-100.3,Mexico
65a97217244f223d8fbd9778,Belo Horizonte,-19.9167,-43.9333,Brazil
65a97217244f223d8fbd9779,Weinan,34.4996,109.4684,China
65a97217244f223d8fbd977a,Rangoon,16.795,96.16,Myanmar
65a97217244f223d8fbd977b,Zhangzhou,24.5093,117.6612,China
65a97217244f223d8fbd977c,Yuncheng,35.0304,110.998,China
65a97217244f223d8fbd977d,Xianyang,34.35,108.7167,China
65a97217244f223d8fbd977e,Guilin,25.2819,110.2864,China
65a97217244f223d8fbd977f,Atlanta,33.7628,-84.422,United States
65a97217244f223d8fbd9780,Taizhou,32.4831,119.9,China
65a97217244f223d8fbd9781,Kāshān,33.9833,51.4333,Iran
65a97217244f223d8fbd9782,Bozhou,33.8626,115.7742,China
65a97217244f223d8fbd9783,Abidjan,5.3167,-4.0333,Côte d'Ivoire
65a97217244f223d8fbd9784,Suqian,33.9331,118.2831,China
65a97217244f223d8fbd9785,Huaihua,27.5494,109.9592,China
65a97217244f223d8fbd9786,Ji’an,27.1172,114.9793,China
65a97217244f223d8fbd9787,Xiaoganzhan,30.9273,113.911,China
65a97217244f223d8fbd9788,Pingdingshan,33.735,113.2999,China
65a97217244f223d8fbd9789,Jiujiang,29.7048,116.0021,China
65a97217244f223d8fbd978a,Alexandria,31.1975,29.8925,Egypt
65a97217244f223d8fbd978b,Mianyang,31.4669,104.7385,China
65a97217244f223d8fbd978c,Sydney,-33.8678,151.21,Australia
65a97217244f223d8fbd978d,Huanglongsi,34.795,114.345,China
65a97217244f223d8fbd978e,Washington,38.9047,-77.0163,United States
65a97217244f223d8fbd978f,Barcelona,41.3825,2.1769,Spain
65a97217244f223d8fbd9790,Changsha,28.1987,112.9709,China
65a97217244f223d8fbd9791,Chenzhou,25.7989,113.0267,China
65a97217244f223d8fbd9792,Anqing,30.5,117.0333,China
65a97217244f223d8fbd9793,Jiangmen,22.5833,113.0833,China
65a97217244f223d8fbd9794,Xinpu,34.5906,119.1801,China
65a97217244f223d8fbd9795,Yibin,28.7596,104.64,China
65a97217244f223d8fbd9796,Yangzhou,32.3912,119.4363,China
65a97217244f223d8fbd9797,Melbourne,-37.8142,144.9631,Australia
65a97217244f223d8fbd9798,Berlin,52.52,13.405,Germany
65a97217244f223d8fbd9799,Hengshui,37.7348,115.686,China
65a97217244f223d8fbd979a,Timbío,2.3445,-76.6839,Colombia
65a97217244f223d8fbd979b,Kunming,25.0433,102.7061,China
65a97217244f223d8fbd979c,Yiyang,28.5833,112.3333,China
65a97217244f223d8fbd979d,Guigang,23.0961,109.6092,China
65a97217244f223d8fbd979e,Changchun,43.9,125.2,China
65a97217244f223d8fbd979f,Jiangguanchi,34.0244,113.8201,China
65a97217244f223d8fbd97a0,Casablanca,33.5333,-7.5833,Morocco
65a97217244f223d8fbd97a1,Meizhou,24.2998,116.1191,China
65a97217244f223d8fbd97a2,Zhangjiakou,40.8108,114.8811,China
65a97217244f223d8fbd97a3,Chifeng,42.2663,118.9223,China
65a97217244f223d8fbd97a4,Ürümqi,43.8225,87.6125,China
65a97217244f223d8fbd97a5,Suzhou,31.3,120.6194,China
65a97217244f223d8fbd97a6,İzmir,38.42,27.14,Turkey
65a97217244f223d8fbd97a7,Linfen,36.0812,111.5087,China
65a97217244f223d8fbd97a8,Shantou,23.3735,116.6941,China
65a97217244f223d8fbd97a9,Kabul,34.5253,69.1783,Afghanistan
65a97217244f223d8fbd97aa,Mogadishu,2.0392,45.3419,Somalia
65a97217244f223d8fbd97ab,Luzhou,28.8918,105.4409,China
65a97217244f223d8fbd97ac,Hefei,31.8639,117.2808,China
65a97217244f223d8fbd97ad,Boston,42.3188,-71.0852,United States
65a97217244f223d8fbd97ae,Liuzhou,24.3264,109.4281,China
65a97217244f223d8fbd97af,Zhaoqing,23.05,112.4667,China
65a97217244f223d8fbd97b0,Xiaoxita,30.7083,111.2803,China
65a97217244f223d8fbd97b1,Shijiazhuang,38.0422,114.5086,China
65a97217244f223d8fbd97b2,Ningbo,29.875,121.5492,China
65a97217244f223d8fbd97b3,Fuzhou,27.9814,116.3577,China
65a97217244f223d8fbd97b4,Phoenix,33.5722,-112.0892,United States
65a97217244f223d8fbd97b5,Zhuzhou,27.8407,113.1469,China
65a97217244f223d8fbd97b6,Amman,31.9497,35.9328,Jordan
65a97217244f223d8fbd97b7,Chuzhou,32.3062,118.3115,China
65a97217244f223d8fbd97b8,Jeddah,21.5433,39.1728,Saudi Arabia
65a97217244f223d8fbd97b9,Qingyuan,23.6842,113.0507,China
65a97217244f223d8fbd97ba,Loudi,27.7378,111.9974,China
65a97217244f223d8fbd97bb,Binzhou,37.3806,118.0125,China
65a97217244f223d8fbd97bc,Deyang,31.1289,104.395,China
65a97217244f223d8fbd97bd,Taiyuan,37.8733,112.5425,China
65a97217244f223d8fbd97be,Kano,12,8.5167,Nigeria
65a97217244f223d8fbd97bf,Wuhu,31.334,118.3622,China
65a97217244f223d8fbd97c0,Nanning,22.8192,108.315,China
65a97217244f223d8fbd97c1,Harbin,45.75,126.6333,China
65a97217244f223d8fbd97c2,Abuja,9.0667,7.4833,Nigeria
65a97217244f223d8fbd97c3,Yokohama,35.4442,139.6381,Japan
65a97217244f223d8fbd97c4,Baojishi,34.3609,107.1751,China
65a97217244f223d8fbd97c5,Zaozhuang,34.8667,117.55,China
65a97217244f223d8fbd97c6,Xiamen,24.4797,118.0819,China
65a97217244f223d8fbd97c7,Neijiang,29.5872,105.0635,China
65a97217244f223d8fbd97c8,Fuzhou,26.0769,119.2917,China
65a97217244f223d8fbd97c9,Baicheng,23.901,106.6194,China
65a97217244f223d8fbd97ca,Anshan,41.1066,122.9895,China
65a97217244f223d8fbd97cb,Medan,3.5894,98.6739,Indonesia
65a97217244f223d8fbd97cc,Yulinshi,38.2655,109.7388,China
65a97217244f223d8fbd97cd,Wenzhou,27.9991,120.6561,China
65a97217244f223d8fbd97ce,Changzhou,31.8122,119.9692,China
65a97217244f223d8fbd97cf,Puyang,35.7639,115.03,China
65a97217244f223d8fbd97d0,Jiaozuo,35.229,113.2304,China
65a97217244f223d8fbd97d1,Nanchang,28.6842,115.8872,China
65a97217244f223d8fbd97d2,Ibadan,7.3964,3.9167,Nigeria
65a97217244f223d8fbd97d3,Hechi,24.6928,108.085,China
65a97217244f223d8fbd97d4,Detroit,42.3834,-83.1024,United States
65a97217244f223d8fbd97d5,Montréal,45.5089,-73.5617,Canada
65a97217244f223d8fbd97d6,Busan,35.18,129.075,South Korea
65a97217244f223d8fbd97d7,Hohhot,40.8151,111.6629,China
65a97217244f223d8fbd97d8,Seattle,47.6211,-122.3244,United States
65a97217244f223d8fbd97d9,Algiers,36.7539,3.0589,Algeria
65a97217244f223d8fbd97da,Hanzhong,33.0794,107.026,China
65a97217244f223d8fbd97db,Tangshan,39.6292,118.1742,China
65a97217244f223d8fbd97dc,Shiyan,32.6351,110.7755,China
65a97217244f223d8fbd97dd,Lucknow,26.85,80.95,India
65a97217244f223d8fbd97de,Siping,43.1715,124.3644,China
65a97217244f223d8fbd97df,Mashhad,36.3,59.6,Iran
65a97217244f223d8fbd97e0,Boankra,6.6944,-1.4028,Ghana
65a97217244f223d8fbd97e1,Changzhi,36.1953,113.097,China
65a97217244f223d8fbd97e2,Dubai,25.2631,55.2972,United Arab Emirates
65a97217244f223d8fbd97e3,Qinzhou,21.95,108.6167,China
65a97217244f223d8fbd97e4,Guiyang,26.5794,106.7078,China
65a97217244f223d8fbd97e5,Bengbu,32.9354,117.3531,China
65a97217244f223d8fbd97e6,San Francisco,37.7558,-122.4449,United States
65a97217244f223d8fbd97e7,Bazhou,31.8576,106.7559,China
65a97217244f223d8fbd97e8,Qincheng,34.5809,105.7311,China
65a97217244f223d8fbd97e9,Suining,30.5098,105.5737,China
65a97217244f223d8fbd97ea,Wuxi,31.5667,120.2833,China
65a97217244f223d8fbd97eb,Leshan,29.5854,103.7575,China
65a97217244f223d8fbd97ec,Putian,25.4394,119.0103,China
65a97217244f223d8fbd97ed,Zhenjiang,32.2109,119.4551,China
65a97217244f223d8fbd97ee,Faisalabad,31.4167,73.0911,Pakistan
65a97217244f223d8fbd97ef,Guang’an,30.4673,106.6336,China
65a97217244f223d8fbd97f0,Tongren,27.7233,109.1885,China
65a97217244f223d8fbd97f1,Santa Cruz,-17.7892,-63.1975,Bolivia
65a97217244f223d8fbd97f2,Qinhuangdao,39.9398,119.5881,China
65a97217244f223d8fbd97f3,Tongliao,43.6172,122.264,China
65a97217244f223d8fbd97f4,Jinzhou,41.1144,121.1292,China
65a97217244f223d8fbd97f5,Heyuan,23.7503,114.6923,China
65a97217244f223d8fbd97f6,San Diego,32.8313,-117.1222,United States
65a97217244f223d8fbd97f7,Jaipur,26.9,75.8,India
65a97217244f223d8fbd97f8,Xinzhou,38.4178,112.7233,China
65a97217244f223d8fbd97f9,Lanzhou,36.0617,103.8318,China
65a97217244f223d8fbd97fa,Wuzhou,23.4833,111.3167,China
65a97217244f223d8fbd97fb,Athens,37.9842,23.7281,Greece
65a97217244f223d8fbd97fc,Addis Ababa,9.03,38.74,Ethiopia
65a97217244f223d8fbd97fd,Chaoyang,41.5757,120.4486,China
65a97217244f223d8fbd97fe,Brasília,-15.7939,-47.8828,Brazil
65a97217244f223d8fbd97ff,Taichung,24.1439,120.6794,Taiwan
65a97217244f223d8fbd9800,Kuwait City,29.3697,47.9783,Kuwait
65a97217244f223d8fbd9801,Budapest,47.4925,19.0514,Hungary
65a97217244f223d8fbd9802,Shaoguan,24.8011,113.5927,China
65a97217244f223d8fbd9803,Shanwei,22.7664,115.3331,China
65a97217244f223d8fbd9804,Quezon City,14.63,121.03,Philippines
65a97217244f223d8fbd9805,Rizhao,35.4164,119.4331,China
65a97217244f223d8fbd9806,Kyiv,50.45,30.5233,Ukraine
65a97217244f223d8fbd9807,Sanaa,15.3483,44.2064,Yemen
65a97217244f223d8fbd9808,Meishan,30.0575,103.8381,China
65a97217244f223d8fbd9809,Incheon,37.4833,126.6333,South Korea
65a97217244f223d8fbd980a,Guatemala City,14.6099,-90.5252,Guatemala
65a97217244f223d8fbd980b,Birmingham,52.48,-1.9025,United Kingdom
65a97217244f223d8fbd980c,Zhongshan,22.5333,113.35,China
65a97217244f223d8fbd980d,Ningde,26.6617,119.5228,China
65a97217244f223d8fbd980e,Weihai,37.5,122.1,China
65a97217244f223d8fbd980f,Daqing,46.5979,125.008,China
65a97217244f223d8fbd9810,Bursa,40.1833,29.05,Turkey
65a97217244f223d8fbd9811,Salvador,-12.9747,-38.4767,Brazil
65a97217244f223d8fbd9812,Rome,41.8931,12.4828,Italy
65a97217244f223d8fbd9813,Haikou,20.02,110.32,China
65a97217244f223d8fbd9814,La Paz,-16.5,-68.15,Bolivia
65a97217244f223d8fbd9815,Xiangtan,27.8431,112.9228,China
65a97217244f223d8fbd9816,Pyongyang,39.0194,125.7381,North Korea
65a97217244f223d8fbd9817,Minneapolis,44.9635,-93.2678,United States
65a97217244f223d8fbd9818,Omdurman,15.65,32.4833,Sudan
65a97217244f223d8fbd9819,Malang,-7.98,112.62,Indonesia
65a97217244f223d8fbd981a,Mudanjiang,44.5861,129.5997,China
65a97217244f223d8fbd981b,Stuttgart,48.7775,9.18,Germany
65a97217244f223d8fbd981c,Brooklyn,40.6501,-73.9496,United States
65a97217244f223d8fbd981d,Kaohsiung,22.615,120.2975,Taiwan
65a97217244f223d8fbd981e,Guayaquil,-2.19,-79.8875,Ecuador
65a97217244f223d8fbd981f,Lisbon,38.7253,-9.15,Portugal
65a97217244f223d8fbd9820,Longyan,25.0881,117.0244,China
65a97217244f223d8fbd9821,Tieling,42.2841,123.8365,China
65a97217244f223d8fbd9822,Manchester,53.4794,-2.2453,United Kingdom
65a97217244f223d8fbd9823,Baotou,40.6562,109.8345,China
65a97217244f223d8fbd9824,Handan,36.6116,114.4894,China
65a97217244f223d8fbd9825,Cawnpore,26.4499,80.3319,India
65a97217244f223d8fbd9826,Dingxi,35.5806,104.6263,China
65a97217244f223d8fbd9827,Nanping,26.6448,118.1728,China
65a97217244f223d8fbd9828,Tampa,27.9945,-82.4447,United States
65a97217244f223d8fbd9829,Zigong,29.3498,104.7645,China
65a97217244f223d8fbd982a,Maracaibo,10.6333,-71.6333,Venezuela
65a97217244f223d8fbd982b,Chaozhou,23.67,116.63,China
65a97217244f223d8fbd982c,Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa)
65a97217244f223d8fbd982d,Denver,39.762,-104.8758,United States
65a97217244f223d8fbd982e,Gulou,26.0865,119.298,China
65a97217244f223d8fbd982f,Weifang,36.7167,119.1,China
65a97217244f223d8fbd9830,Huai’an,33.5058,119.1392,China
65a97217244f223d8fbd9831,Zibo,36.7831,118.0497,China
65a97217244f223d8fbd9832,Ankang,32.6877,109.0235,China
65a97217244f223d8fbd9833,Baoshan,25.1211,99.169,China
65a97217244f223d8fbd9834,Antananarivo,-18.9333,47.5167,Madagascar
65a97217244f223d8fbd9835,Huludao,40.7094,120.8378,China
65a97217244f223d8fbd9836,Munich,48.1375,11.575,Germany
65a97217244f223d8fbd9837,Yanjiang,30.1256,104.6397,China
65a97217244f223d8fbd9838,Santo Domingo,18.4764,-69.8933,Dominican Republic
65a97217244f223d8fbd9839,Sanming,26.2658,117.6302,China
65a97217244f223d8fbd983a,Tashkent,41.3111,69.2797,Uzbekistan
65a97217244f223d8fbd983b,Longba,33.535,105.349,China
65a97217244f223d8fbd983c,Yangjiang,21.8556,111.9627,China
65a97217244f223d8fbd983d,Jiamusi,46.8081,130.3653,China
65a97217244f223d8fbd983e,Luohe,33.583,114.0109,China
65a97217244f223d8fbd983f,Lincang,23.8864,100.0871,China
65a97217244f223d8fbd9840,Medellín,6.2308,-75.5906,Colombia
65a97217244f223d8fbd9841,Xuanzhou,30.9475,118.7518,China
65a97217244f223d8fbd9842,Yunfu,22.9242,112.0353,China
65a97217244f223d8fbd9843,Shaoxing,30,120.5833,China
65a97217244f223d8fbd9844,Yantai,37.3997,121.2664,China
65a97217244f223d8fbd9845,Huizhou,23.1115,114.4152,China
65a97217244f223d8fbd9846,Lishui,28.45,119.9167,China
65a97217244f223d8fbd9847,Mirzāpur,25.146,82.569,India
65a97217244f223d8fbd9848,Hamburg,53.55,10,Germany
65a97217244f223d8fbd9849,Guangyuan,32.4353,105.8398,China
65a97217244f223d8fbd984a,Cali,3.4206,-76.5222,Colombia
65a97217244f223d8fbd984b,Lusaka,-15.4167,28.2833,Zambia
65a97217244f223d8fbd984c,Huangshi,30.2018,115.0326,China
65a97217244f223d8fbd984d,Xining,36.6239,101.7787,China
65a97217244f223d8fbd984e,Ouagadougou,12.3686,-1.5275,Burkina Faso
65a97217244f223d8fbd984f,Daegu,35.8717,128.6017,South Korea
65a97217244f223d8fbd9850,Fortaleza,-3.7275,-38.5275,Brazil
65a97217244f223d8fbd9851,Yaoundé,3.8667,11.5167,Cameroon
65a97217244f223d8fbd9852,Jilin,43.8519,126.5481,China
65a97217244f223d8fbd9853,Dandong,40.1167,124.3833,China
65a97217244f223d8fbd9854,Zhuhai,22.2769,113.5678,China
65a97217244f223d8fbd9855,Lianshan,40.7523,120.828,China
65a97217244f223d8fbd9856,Yingkou,40.6653,122.2297,China
65a97217244f223d8fbd9857,Antalya,36.8874,30.7075,Turkey
65a97217244f223d8fbd9858,Nāgpur,21.1497,79.0806,India
65a97217244f223d8fbd9859,Queens,40.7498,-73.7976,United States
65a97217244f223d8fbd985a,Accra,5.55,-0.2,Ghana
65a97217244f223d8fbd985b,Bekasi,-6.2349,106.9923,Indonesia
65a97217244f223d8fbd985c,Ghāziābād,28.67,77.42,India
65a97217244f223d8fbd985d,Yuxi,24.3495,102.5432,China
65a97217244f223d8fbd985e,Luoyang,34.6587,112.4245,China
65a97217244f223d8fbd985f,Brisbane,-27.4678,153.0281,Australia
65a97217244f223d8fbd9860,Anshun,26.2456,105.934,China
65a97217244f223d8fbd9861,Depok,-6.394,106.8225,Indonesia
65a97217244f223d8fbd9862,Shangzhou,33.868,109.9244,China
65a97217244f223d8fbd9863,Huainan,32.4831,117.0164,China
65a97217244f223d8fbd9864,Colombo,6.9344,79.8428,Sri Lanka
65a97217244f223d8fbd9865,Kuaidamao,41.7302,125.9471,China
65a97217244f223d8fbd9866,Baku,40.3667,49.8352,Azerbaijan
65a97217244f223d8fbd9867,Fukuoka,33.5833,130.4,Japan
65a97217244f223d8fbd9868,Yan’an,36.5952,109.4863,China
65a97217244f223d8fbd9869,Jincheng,35.4906,112.8483,China
65a97217244f223d8fbd986a,Vancouver,49.25,-123.1,Canada
65a97217244f223d8fbd986b,Nantong,31.9829,120.8873,China
65a97217244f223d8fbd986c,Tangerang,-6.1783,106.6319,Indonesia
65a97217244f223d8fbd986d,Caracas,10.4806,-66.9036,Venezuela
65a97217244f223d8fbd986e,Sanmenxia,34.7736,111.195,China
65a97217244f223d8fbd986f,Laibin,23.7333,109.2333,China
65a97217244f223d8fbd9870,Konya,37.8667,32.4833,Turkey
65a97217244f223d8fbd9871,Manaus,-3.1,-60.0167,Brazil
65a97217244f223d8fbd9872,Eşfahān,32.6447,51.6675,Iran
65a97217244f223d8fbd9873,Qinbaling,35.7278,107.64,China
65a97217244f223d8fbd9874,Baltimore,39.3051,-76.6144,United States
65a97217244f223d8fbd9875,Ma’anshan,31.6858,118.5101,China
65a97217244f223d8fbd9876,Shengli,37.45,118.4667,China
65a97217244f223d8fbd9877,Gaoping,30.7824,106.1281,China
65a97217244f223d8fbd9878,Taizhou,28.6583,121.4221,China
65a97217244f223d8fbd9879,Harare,-17.8292,31.0522,Zimbabwe
65a97217244f223d8fbd987a,Kowloon,22.3167,114.1833,Hong Kong
65a97217244f223d8fbd987b,Las Vegas,36.2333,-115.2654,United States
65a97217244f223d8fbd987c,Havana,23.1367,-82.3589,Cuba
65a97217244f223d8fbd987d,Perth,-31.9559,115.8606,Australia
65a97217244f223d8fbd987e,Phnom Penh,11.5694,104.9211,Cambodia
65a97217244f223d8fbd987f,Puning,23.2993,116.1586,China
65a97217244f223d8fbd9880,Huaibei,33.9562,116.789,China
65a97217244f223d8fbd9881,Qingyang,24.8141,118.5792,China
65a97217244f223d8fbd9882,Haiphong,20.8651,106.6838,Vietnam
65a97217244f223d8fbd9883,Chongzuo,22.4167,107.3667,China
65a97217244f223d8fbd9884,Rawalpindi,33.6,73.0333,Pakistan
65a97217244f223d8fbd9885,Yushan,31.3867,120.9766,China
65a97217244f223d8fbd9886,St. Louis,38.6359,-90.2451,United States
65a97217244f223d8fbd9887,Kumasi,6.6667,-1.6167,Ghana
65a97217244f223d8fbd9888,Vadodara,22.3,73.2,India
65a97217244f223d8fbd9889,Hezhou,24.4164,111.5478,China
65a97217244f223d8fbd988a,Pingliang,35.5412,106.6819,China
65a97217244f223d8fbd988b,Portland,45.5371,-122.65,United States
65a97217244f223d8fbd988c,Vishākhapatnam,17.7042,83.2978,India
65a97217244f223d8fbd988d,Gujranwala,32.1567,74.19,Pakistan
65a97217244f223d8fbd988e,Baicheng,45.6148,122.832,China
65a97217244f223d8fbd988f,Gaziantep,37.0628,37.3792,Turkey
